"komentar","label","preprocessedKomentar"
"Petugas kepolisian diberikan pelatihan sebelum menjalankan tugasnya.","netral","tugas polisi beri latih jalan tugas"
"Prosedur penanganan kasus mengacu pada hukum yang berlaku.","netral","prosedur tangan kasus acu hukum laku"
"Polisi berperan dalam mengatur lalu lintas untuk menjaga kelancaran jalan.","netral","polisi peran atur lalu lintas jaga lancar jalan"
"Kepolisian memiliki mekanisme pengaduan bagi masyarakat yang membutuhkan.","netral","polisi milik mekanisme adu masyarakat butuh"
"Dalam menjalankan tugasnya, polisi mengikuti standar operasional yang ditentukan.","netral","jalan tugas polisi ikut standar operasional tentu"
"Setiap anggota kepolisian memiliki tanggung jawab dalam menjalankan tugasnya.","netral","anggota polisi milik tanggung jawab jalan tugas"
"Kepolisian bekerja di bawah regulasi yang ditetapkan pemerintah.","netral","polisi kerja bawah regulasi tetap perintah"
"Laporan masyarakat menjadi salah satu sumber informasi bagi kepolisian.","netral","lapor masyarakat jadi salah satu sumber informasi polisi"
"Teknologi digunakan oleh kepolisian untuk membantu dalam penyelidikan kasus.","netral","teknologi guna polisi bantu selidik kasus"
"Kepolisian memiliki tugas untuk menjaga keamanan dalam berbagai situasi.","netral","polisi milik tugas jaga aman bagai situasi"
"Kelakuan kayak preman, tapi minta dihormati! Gimana rakyat mau respek?!","negatif","laku kayak preman minta hormat gimana rakyat mau respek"
"Polisi harusnya melindungi rakyat, bukan malah bikin susah!","negatif","polisi harus lindung rakyat bukan malah bikin susah"
"Percuma ada hukum kalau polisi masih tebang pilih!","negatif","cuma hukum kalau polisi tebang pilih"
"Keadilan cuma buat yang punya uang, rakyat kecil nggak dianggap!","negatif","adil cuma buat punya uang rakyat kecil anggap"
"Bosen liat berita polisi korup, kapan benernya?!","negatif","bosan liat berita polisi korup kapan benar"
"Polisi kerja buat siapa sih? Kok yang salah malah dilindungi?","negatif","polisi kerja buat siapa sih kok salah malah lindung"
"Susah banget cari polisi jujur sekarang! Kecewa banget!","negatif","susah banget cari polisi jujur sekarang kecewa banget"
"Kalau polisi nggak becus kerja, jangan harap rakyat percaya lagi!","negatif","kalau polisi becus kerja jangan harap rakyat percaya"
"Rakyat butuh keadilan, bukan janji kosong dari polisi!","negatif","rakyat butuh adil bukan janji kosong polisi"
"Ngurus laporan aja ribet, polisi kerja atau enggak sih?","negatif","urus lapor aja ribat polisi kerja tidak sih"
"Kenapa kalau kasus kecil polisi sigap, tapi kalau kasus besar malah lama?!","negatif","kalau kasus kecil polisi sigap kalau kasus besar malah lama"
"Gaji dari pajak rakyat, tapi kerja seenaknya!","negatif","gaji pajak rakyat kerja enak"
"Harus berapa banyak korban dulu sampai polisi bener-bener bertindak?!","negatif","berapa banyak korban dulu polisi benar tindak"
"Jangan cuma garang sama rakyat kecil, yang gede juga ditindak dong!","negatif","jangan cuma garang sama rakyat kecil gede tindak dong"
"Banyak oknum, tapi yang bener malah diam! Kecewa berat!","negatif","banyak oknum benar malah diam kecewa berat"
"Kalau nggak bisa jujur, jangan jadi polisi!","negatif","kalau jujur jangan jadi polisi"
"Keamanan buat siapa sih? Kok yang salah malah makin berkuasa?","negatif","aman buat siapa sih kok salah malah makin kuasa"
"Udah capek berharap, percuma kalau polisi masih gini-gini aja!","negatif","udah capek harap cuma kalau polisi begini aja"
"Dikit-dikit damai, hukum di mana?!","negatif","dikit damai hukum mana"
"Kinerja buruk tapi bangga seolah nggak ada masalah, parah sih!","negatif","kinerja buruk bangga masalah parah sih"
"Rakyat nggak butuh polisi pencitraan, butuh yang beneran kerja!","negatif","rakyat butuh polisi citra butuh benar kerja"
"kenapa polisi memang harus menakutkan sih?","negatif","polisi memang takut sih"
"di mata masyarakat sebenarnya polisi itu menakutkan bukan mengayomi","negatif","mata masyarakat benar polisi takut bukan ayom"
"saya lebih takut polisi karena polisi seperti momok yg menakutkan bagi kami para pemotor","negatif","lebih takut polisi polisi momok yang takut motor"
"Ngeri banget Polisi jaman sekarang kok menakutkan","negatif","ngeri banget polisi jaman sekarang kok takut"
"Jujur aja, sekarang kalau ketemu polisi di jalan malah deg-degan.","negatif","jujur aja sekarang kalau temu polisi jalan malah deg degan"
"Bukan rasa aman yang didapat, malah takut kalau ada razia.","negatif","bukan rasa aman dapat malah takut kalau razia"
"Bahkan kalau nggak salah apa-apa pun, tetap takut kalau harus berurusan sama polisi.","negatif","bahkan kalau salah apa tetap takut kalau urus sama polisi"
"Gimana nggak takut, kasus bisa tiba-tiba diputarbalikkan?","negatif","gimana takut kasus tiba diputarbalikkan"
"Kalau ada masalah, takut lapor, nanti malah gue yang kena!","negatif","kalau masalah takut lapor malah gue kena"
"Udah bayar pajak buat gaji mereka, tapi malah bikin rakyat takut.","negatif","udah bayar pajak buat gaji malah bikin rakyat takut"
"Takut banget kalau ada kejadian di jalan, mau lapor pun bingung percaya atau nggak.","negatif","takut banget kalau jadi jalan mau lapor bingung percaya"
"Semoga kepolisian bisa terus menjalankan tugasnya dengan baik.","netral","moga polisi terus jalan tugas baik"
"Pelayanan publik harus tetap berjalan sesuai prosedur.","netral","layan publik tetap jalan suai prosedur"
"Setiap tugas pasti ada tantangannya, termasuk di kepolisian.","netral","tugas tantang masuk polisi"
"Semua pihak perlu bekerja sama untuk menjaga keamanan.","netral","semua pihak perlu kerja sama jaga aman"
"Proses hukum harus tetap berjalan sesuai aturan yang berlaku.","netral","proses hukum tetap jalan suai atur laku"
"Polisi punya peran besar dalam menertibkan masyarakat.","netral","polisi punya peran besar tertib masyarakat"
"Setiap laporan pasti membutuhkan waktu untuk diproses.","netral","lapor butuh waktu proses"
"Semua pihak pasti mengharapkan sistem yang lebih baik.","netral","semua pihak harap sistem lebih baik"
"Polisi juga manusia, pasti ada yang baik dan ada yang kurang.","netral","polisi manusia baik kurang"
"Perubahan sistem butuh waktu, nggak bisa instan.","netral","ubah sistem butuh waktu instan"
"Semua lembaga pasti punya tantangan masing-masing.","netral","semua lembaga punya tantang masing"
"Penegakan hukum perlu terus diperbaiki dari waktu ke waktu.","netral","tegak hukum perlu terus baik waktu waktu"
"Semua profesi pasti ada oknum dan ada yang benar-benar menjalankan tugasnya.","netral","semua profesi oknum benar jalan tugas"
"Masyarakat dan kepolisian harus saling mendukung demi keamanan bersama.","netral","masyarakat polisi saling dukung aman sama"
"Setiap kasus punya tingkat kesulitan yang berbeda-beda.","netral","kasus punya tingkat sulit beda beda"
"Tugas kepolisian nggak mudah, tapi harus tetap profesional.","netral","tugas polisi mudah tetap profesional"
"Setiap kebijakan pasti ada pro dan kontranya.","netral","bijak pro kontra"
"Polisi tetap punya kewajiban untuk melindungi masyarakat.","netral","polisi tetap punya wajib lindung masyarakat"
"Komunikasi antara masyarakat dan kepolisian harus lebih baik.","netral","komunikasi masyarakat polisi lebih baik"
"Setiap kritik pasti ada alasannya, semoga bisa jadi bahan evaluasi.","netral","kritik alas moga jadi bahan evaluasi"
"Udah banyak kejadian aneh, bikin makin nggak berani macem-macem.","negatif","udah banyak jadi aneh bikin makin berani macem"
"Takut kalau dituduh sesuatu yang nggak kita lakuin.","negatif","takut kalau tuduh laku"
"Kalau ada peraturan baru, takutnya cuma buat nambah beban rakyat.","negatif","kalau atur baru takut cuma buat tambah beban rakyat"
"Bahkan orang yang udah punya pengacara pun masih bisa kena ancaman.","negatif","bahkan orang udah punya acara kena ancam"
"Takutnya kalau viral baru diproses, kalau nggak, ya ilang aja.","negatif","takut kalau viral baru proses kalau ilang aja"
"Ngeri kalau urusan sama polisi malah jadi lebih rumit.","negatif","ngeri kalau urus sama polisi malah jadi lebih rumit"
"Banyak kejadian aneh di tahanan, bikin was-was.","negatif","banyak jadi aneh tahan bikin was"
"Takut kalau ngelapor malah ditanya ?isa damai nggak??negatif","negatif","takut kalau lapor malah dita isa damai negatif"
"Udah jelas kasus berat, tapi takut kalau akhirnya pelaku bebas.","negatif","udah jelas kasus berat takut kalau akhir laku bebas"
"Kalau lihat lampu strobo di belakang, rasanya udah takut duluan.","negatif","kalau lihat lampu strobo belakang rasa udah takut dulu"
"Takut kalau ada razia, nanti malah kena kasus yang aneh-aneh.","negatif","takut kalau razia malah kena kasus aneh"
"Banyak kasus salah tangkap, bikin siapa aja bisa kena.","negatif","banyak kasus salah tangkap bikin siapa aja kena"
"Jalan malam aja takut, bukannya merasa aman malah makin waspada.","negatif","jalan malam aja takut bukan rasa aman malah makin waspada"
"Takut kalau ternyata yang harusnya menegakkan hukum malah bermain di belakang layar.","negatif","takut kalau nyata harus tegak hukum malah main belakang layar"
"Bahkan ngerekam kejadian aja bisa kena masalah, serem banget.","negatif","bahkan rekam jadi aja kena masalah seram banget"
"Mau pasang kamera di mobil, takut malah dikira cari masalah.","negatif","mau pasang kamera mobil takut malah kira cari masalah"
"Lapor kehilangan malah kena biaya tambahan? Makin takut buat lapor.","negatif","lapor hilang malah kena biaya tambah makin takut buat lapor"
"Ngeri kalau ditilang tapi nggak tahu hak kita sebagai warga negara.","negatif","ngeri kalau tilang beri hak warga negara"
"Kalau nggak ada bukti rekaman, takut kejadian bisa dipelintir.","negatif","kalau bukti rekam takut jadi pelintir"
"Udah banyak orang yang jadi korban salah tangkap, makin ngeri.","negatif","udah banyak orang jadi korban salah tangkap makin ngeri"
"Takut kalau hukum bisa dipermainkan seenaknya.","negatif","takut kalau hukum main enak"
"Lihat berita makin serem, rakyat kecil kayak nggak punya perlindungan.","negatif","lihat berita makin seram rakyat kecil kayak punya lindung"
"Bahkan kalau punya bukti kuat pun tetap takut kalau kasus bisa hilang begitu aja.","negatif","bahkan kalau punya bukti kuat tetap takut kalau kasus hilang aja"
"Sedih banget, hukum di negara ini terasa nggak adil sama sekali.","negatif","sedih banget hukum negara rasa adil sama kali"
"Kepercayaan ke polisi makin lama makin hilang, kecewa banget.","negatif","percaya polisi makin lama makin hilang kecewa banget"
"Harusnya merasa aman, tapi malah was-was kalau ketemu polisi.","negatif","harus rasa aman malah was kalau temu polisi"
"Capek berharap, setiap ada kasus besar ujung-ujungnya menghilang.","negatif","capek harap kasus besar ujung ujung hilang"
"Kepolisian memiliki tugas utama dalam menjaga ketertiban masyarakat.","netral","polisi milik tugas utama jaga tertib masyarakat"
"Evaluasi berkala terhadap kinerja aparat penting untuk perbaikan sistem.","netral","evaluasi kala kinerja aparat penting baik sistem"
"Koordinasi dengan pihak terkait dapat meningkatkan efektivitas penegakan hukum.","netral","koordinasi pihak kait tingkat efektivitas tegak hukum"
"Penyuluhan hukum kepada masyarakat dapat membantu dalam pencegahan kejahatan.","netral","suluh hukum masyarakat bantu cegah jahat"
"Teknologi dapat dimanfaatkan untuk meningkatkan efektivitas pelayanan kepolisian.","netral","teknologi manfaat tingkat efektivitas layan polisi"
"Setiap institusi, termasuk kepolisian, perlu beradaptasi dengan perkembangan zaman.","netral","institusi masuk polisi perlu adaptasi kembang zaman"
"Penegakan hukum yang adil akan menciptakan ketertiban dalam masyarakat.","netral","tegak hukum adil cipta tertib masyarakat"
"Pelayanan publik yang maksimal adalah harapan semua warga terhadap kepolisian.","netral","layan publik maksimal harap semua warga polisi"
"Transparansi dalam proses hukum dapat meningkatkan kepercayaan masyarakat.","netral","transparansi proses hukum tingkat percaya masyarakat"
"Kepolisian harus selalu mengikuti prosedur dalam setiap tindakan yang dilakukan.","netral","polisi selalu ikut prosedur tindak laku"
"Program peningkatan kualitas SDM kepolisian dapat membantu profesionalisme kerja.","netral","program tingkat kualitas sdm polisi bantu profesionalisme kerja"
"Respons cepat dalam menangani laporan masyarakat sangat diperlukan.","netral","respons cepat tangan lapor masyarakat sangat perlu"
"Koordinasi antara kepolisian dan masyarakat dapat meningkatkan keamanan bersama.","netral","koordinasi polisi masyarakat tingkat aman sama"
"Sistem pengaduan masyarakat yang lebih efektif dapat mempermudah penanganan kasus.","netral","sistem adu masyarakat lebih efektif mudah tangan kasus"
"Kepolisian perlu memberikan edukasi tentang hukum agar masyarakat lebih paham.","netral","polisi perlu beri edukasi hukum masyarakat lebih paham"
"Pembenahan sistem internal akan berdampak pada peningkatan kinerja kepolisian.","netral","benah sistem internal dampak tingkat kinerja polisi"
"Penanganan kasus harus dilakukan secara transparan dan akuntabel.","netral","tangan kasus laku transparan akuntabel"
"Setiap tindakan aparat harus sesuai dengan hukum yang berlaku.","netral","tindak aparat suai hukum laku"
"Peran kepolisian dalam menjaga ketertiban harus didukung oleh seluruh elemen masyarakat.","netral","peran polisi jaga tertib dukung seluruh elemen masyarakat"
"Sedih lihat korban yang nggak dapat keadilan.","negatif","sedih lihat korban adil"
"Semakin hari, semakin sulit percaya dengan aparat.","negatif","makin hari makin sulit percaya aparat"
"Andai polisi benar-benar bekerja untuk rakyat, pasti keadaannya lebih baik.","negatif","andai polisi benar kerja rakyat ada lebih baik"
"Kenapa banyak kasus yang cuma dijadikan berita, tapi nggak ada tindak lanjut?","negatif","banyak kasus cuma jadi berita tindak lanjut"
"Padahal polisi itu harapan terakhir rakyat untuk mendapatkan keadilan.","negatif","padahal polisi harap akhir rakyat dapat adil"
"Hukum terasa seperti permainan, yang kuat menang, yang lemah terabaikan.","negatif","hukum rasa main kuat menang lemah abai"
"Lapor ke polisi malah dianggap bercanda, sakit banget rasanya.","negatif","lapor polisi malah anggap canda sakit banget rasa"
"Kenapa harus viral dulu baru mau bertindak?","negatif","viral dulu baru mau tindak"
"Miris lihat korban kriminal yang akhirnya harus berjuang sendiri.","negatif","miris lihat korban kriminal akhir juang sendiri"
"Semua pihak punya peran dalam menjaga ketertiban bersama.","netral","semua pihak punya peran jaga tertib sama"
"Setiap profesi pasti punya tantangan dan tanggung jawabnya masing-masing.","netral","profesi punya tantang tanggung jawab memasing"
"Selalu ada ruang untuk perbaikan dalam setiap sistem.","netral","selalu ruang baik sistem"
"Keamanan adalah tanggung jawab bersama, bukan hanya kepolisian.","netral","aman tanggung jawab sama bukan polisi"
"Evaluasi kinerja itu penting untuk meningkatkan pelayanan.","netral","evaluasi kinerja penting tingkat layan"
"Semua orang pasti menginginkan keadilan ditegakkan dengan baik.","netral","semua orang ingin adil tegak baik"
"Prosedur hukum harus tetap diikuti sesuai aturan yang berlaku.","netral","prosedur hukum tetap ikut suai atur laku"
"Kepolisian tetap harus bekerja sesuai tugas dan fungsinya.","netral","polisi tetap kerja suai tugas fungsi"
"Semua orang berhak mendapatkan pelayanan yang baik dari kepolisian.","netral","semua orang hak dapat layan baik polisi"
"Ketertiban masyarakat bisa tercipta kalau semua pihak bekerja sama.","netral","tertib masyarakat cipta kalau semua pihak kerja sama"
"Reformasi di institusi mana pun butuh proses dan waktu.","netral","reformasi institusi mana butuh proses waktu"
"Teknologi bisa membantu kepolisian dalam meningkatkan kinerjanya.","netral","teknologi bantu polisi tingkat kinerja"
"Komunikasi yang baik antara masyarakat dan polisi bisa meningkatkan kepercayaan.","netral","komunikasi baik masyarakat polisi tingkat percaya"
"Tidak semua masalah bisa langsung selesai dalam waktu singkat.","netral","semua masalah langsung selesai waktu singkat"
"Penegakan hukum harus berjalan sesuai prinsip keadilan.","netral","tegak hukum jalan suai prinsip adil"
"Semua laporan pasti akan diproses sesuai dengan mekanisme yang ada.","netral","semua lapor proses suai mekanisme"
"Sinergi antara kepolisian dan masyarakat sangat diperlukan.","netral","sinergi polisi masyarakat sangat perlu"
"Keamanan dan kenyamanan masyarakat harus tetap menjadi prioritas.","netral","aman nyaman masyarakat tetap jadi prioritas"
"Tugas utama kepolisian adalah menjaga ketertiban dan melindungi warga.","netral","tugas utama polisi jaga tertib lindung warga"
"Kritik yang membangun bisa membantu perbaikan sistem yang ada.","netral","kritik bangun bantu baik sistem"
"Berurusan sama polisi itu kayak main judi, bisa aman bisa celaka.","negatif","urus sama polisi kayak main judi aman celaka"
"Takut kalau ternyata nggak ada keadilan buat rakyat biasa.","negatif","takut kalau nyata adil buat rakyat biasa"
"Mau rekam kejadian di jalan, tapi takut malah ditangkap.","negatif","mau rekam jadi jalan takut malah tangkap"
"Kalau ada masalah, nggak tahu harus lapor atau kabur aja.","negatif","kalau masalah beri lapor kabur aja"
"Bahkan sekadar bertanya pun takut dimarahi.","negatif","bahkan kadar tanya takut marah"
"Takut kalau ada kejadian terus disuruh ?amai?dengan cara yang nggak bener.","negatif","takut kalau jadi terus suruh amai cara benar"
"Sering dengar cerita serem soal polisi, jadi makin takut.","negatif","sering dengar cerita seram soal polisi jadi makin takut"
"Kalau ada polisi datang ke lingkungan, bukannya tenang malah panik.","negatif","kalau polisi datang lingkung bukan tenang malah panik"
"Takut kalau kena kasus yang bukan salah sendiri.","negatif","takut kalau kena kasus bukan salah sendiri"
"Nggak berani komentar banyak, takut jadi bumerang.","negatif","berani komentar banyak takut jadi bumerang"
"Banyak kejadian aneh di tahanan, bikin was-was banget.","negatif","banyak jadi aneh tahan bikin was banget"
"Kalau ditilang, takut malah jadi panjang urusannya.","negatif","kalau tilang takut malah jadi panjang urus"
"Serem kalau ketemu polisi yang mukanya galak.","negatif","seram kalau temu polisi muka galak"
"Kalau ada laporan hilang, takut malah disuruh bayar.","negatif","kalau lapor hilang takut malah suruh bayar"
"Mau lapor kasus, tapi takut nggak diproses.","negatif","mau lapor kasus takut proses"
"Kalau ada operasi polisi di jalan, pasti deg-degan sendiri.","negatif","kalau operasi polisi jalan deg degan sendiri"
"Nggak tahu mana yang bisa dipercaya, jadi takut berurusan.","negatif","beri mana percaya jadi takut urus"
"Makin takut kalau lihat berita polisi korupsi.","negatif","makin takut kalau lihat berita polisi korupsi"
"Takut kalau nanti malah jadi korban salah tangkap.","negatif","takut kalau malah jadi korban salah tangkap"
"Kalau ada polisi patroli, perasaan malah nggak tenang.","negatif","kalau polisi patroli rasa malah tenang"
"Hukum harusnya melindungi, tapi takutnya malah sebaliknya.","negatif","hukum harus lindung takut malah balik"
"Takut kalau ada aturan baru yang malah memberatkan rakyat.","negatif","takut kalau atur baru malah berat rakyat"
"Jangan sampai ada kejadian di sekitar kita, takut kena imbas.","negatif","jangan jadi takut kena imbas"
"Kalau lihat polisi ngobrol sama preman, makin bingung harus percaya siapa.","negatif","kalau lihat polisi obrol sama preman makin bingung percaya siapa"
"Serem kalau ada polisi bawa senjata, bukannya merasa aman malah tegang.","negatif","seram kalau polisi bawa senjata bukan rasa aman malah tegang"
"Banyak kejadian yang nggak masuk akal, bikin takut sendiri.","negatif","banyak jadi masuk akal bikin takut sendiri"
"Nggak ngerti lagi kalau sampai ketemu polisi yang main ancam.","negatif","ngerti kalau temu polisi main ancam"
"Takut kalau ada orang yang salah malah dipaksa ngaku.","negatif","takut kalau orang salah malah paksa ngaku"
"Banyak kasus besar tiba-tiba hilang, serem banget sistemnya.","negatif","banyak kasus besar tiba hilang seram banget sistem"
"Kalau viral baru diproses, kalau nggak ya dibiarkan, bikin ngeri.","negatif","kalau viral baru proses kalau biar bikin ngeri"
"Mau protes tapi takut ada akibatnya.","negatif","mau protes takut akibat"
"Takut kalau ketahuan ngerekam kejadian penting.","negatif","takut kalau tahu rekam jadi penting"
"Kepolisian memiliki peran penting dalam menjaga keamanan dan ketertiban.","netral","polisi milik peran penting jaga aman tertib"
"Pelayanan yang cepat dan efisien dapat meningkatkan kepercayaan masyarakat.","netral","layan cepat efisien tingkat percaya masyarakat"
"Setiap laporan yang masuk harus diproses sesuai prosedur hukum yang berlaku.","netral","lapor masuk proses suai prosedur hukum laku"
"Koordinasi antara kepolisian dan masyarakat dapat menciptakan lingkungan yang lebih aman.","netral","koordinasi polisi masyarakat cipta lingkung lebih aman"
"Teknologi dapat membantu meningkatkan efektivitas kinerja kepolisian dalam melayani publik.","netral","teknologi bantu tingkat efektivitas kinerja polisi layan publik"
"Sosialisasi aturan hukum kepada masyarakat bisa mencegah pelanggaran sejak dini.","netral","sosialisasi atur hukum masyarakat cegah langgar sejak dini"
"Evaluasi berkala terhadap kinerja kepolisian penting untuk meningkatkan profesionalisme.","netral","evaluasi kala kinerja polisi penting tingkat profesionalisme"
"Penyuluhan keamanan dapat membantu meningkatkan kesadaran hukum di masyarakat.","netral","suluh aman bantu tingkat sadar hukum masyarakat"
"Penguatan sistem pengawasan internal dapat meningkatkan transparansi kepolisian.","netral","kuat sistem awas internal tingkat transparansi polisi"
"Pelayanan publik yang optimal harus menjadi prioritas utama kepolisian.","netral","layan publik optimal jadi prioritas utama polisi"
"Setiap tindakan kepolisian harus sesuai dengan kode etik dan standar prosedur yang berlaku.","netral","tindak polisi suai kode etik standar prosedur laku"
"Kepolisian yang responsif dapat membantu penyelesaian masalah hukum lebih cepat.","netral","polisi responsif bantu selesai masalah hukum lebih cepat"
"Kolaborasi dengan berbagai instansi dapat meningkatkan efektivitas penegakan hukum.","netral","kolaborasi bagai instansi tingkat efektivitas tegak hukum"
"Transparansi dalam proses penanganan kasus dapat mencegah munculnya spekulasi negatif.","netral","transparansi proses tangan kasus cegah muncul spekulasi negatif"
"Pembinaan berkelanjutan terhadap personel kepolisian diperlukan untuk menjaga profesionalisme.","netral","bina lanjut personel polisi perlu jaga profesionalisme"
"Kepolisian harus tetap menjalankan tugasnya secara independen tanpa intervensi pihak lain.","netral","polisi tetap jalan tugas independen intervensi pihak"
"Pelaporan digital dapat membantu masyarakat mendapatkan akses lebih cepat terhadap layanan kepolisian.","netral","lapor digital bantu masyarakat dapat akses lebih cepat layan polisi"
"Pelibatan komunitas dalam menjaga keamanan dapat membantu tugas kepolisian.","netral","libat komunitas jaga aman bantu tugas polisi"
"Keamanan dan ketertiban dapat terjaga dengan sinergi antara kepolisian dan masyarakat.","netral","aman tertib jaga sinergi polisi masyarakat"
"Kepolisian memiliki tanggung jawab besar dalam menjaga stabilitas sosial dan keamanan nasional.","netral","polisi milik tanggung jawab besar jaga stabilitas sosial aman nasional"
"Kalau nggak viral, nggak bakal diurus! Gila!","negatif","kalau viral bakal urus gila"
"Mau lapor malah dipingpong ke sana-sini! Ngapain ada polisi?","negatif","mau lapor malah pingpong sana sini mengapa polisi"
"Lihat polisi, bukannya tenang malah langsung emosi!","negatif","lihat polisi bukan tenang malah langsung emosi"
"Hukum di negeri ini cuma untuk rakyat kecil!","negatif","hukum negeri cuma rakyat kecil"
"Yang punya duit aman, yang nggak punya jadi korban!","negatif","punya duit aman punya jadi korban"
"Mereka kerja buat rakyat atau buat bos-bosnya doang?","negatif","kerja buat rakyat buat bos bos doang"
"Capek lihat drama hukum di negara ini!","negatif","capek lihat drama hukum negara"
"Tiap hari ada aja berita soal polisi bermasalah!","negatif","tiap hari aja berita soal polisi masalah"
"Kalau rakyat yang salah langsung ditindak, kalau mereka? Bebas!","negatif","kalau rakyat salah langsung tindak kalau bebas"
"Udah rusak sistemnya, nggak bakal bisa dipercaya lagi!","negatif","udah rusak sistem bakal percaya"
"Bosan lihat mereka sok bener di depan kamera!","negatif","bosan lihat sok benar depan kamera"
"Nyebelin banget kalau ada kasus gede, ujung-ujungnya hilang!","negatif","sebel banget kalau kasus gede ujung ujung hilang"
"Kenapa sih mereka nggak malu sama seragamnya sendiri?","negatif","sih malu sama ragam sendiri"
"Mending mereka belajar dulu arti kata 'adil'!","negatif","mending ajar dulu arti kata adil"
"Yang korup bebas, yang jujur malah dipersulit!","negatif","korup bebas jujur malah sulit"
"Kalau nggak ada uang atau koneksi, jangan harap dapat keadilan!","negatif","kalau uang koneksi jangan harap adil"
"Kasus kelar bukan karena kerja keras polisi, tapi karena rakyat marah!","negatif","kasus kelar bukan kerja keras polisi rakyat marah"
"Makin nggak ada rasa hormat sama mereka!","negatif","makin rasa hormat sama"
"Heran, kerjaannya ngurusin rakyat kecil doang!","negatif","heran kerja urus rakyat kecil doang"
"Jangan sok suci kalau kelakuan masih kayak preman!","negatif","jangan sok suci kalau laku kayak preman"
"Nggak ada perubahan! Masalahnya itu-itu aja tiap tahun!","negatif","ubah masalah aja tiap tahun"
"Seragam bukan buat gaya-gayaan, tapi buat kerja bener!","negatif","ragam bukan buat gaya gaya buat kerja benar"
"Hukum tajam ke bawah, tumpul ke atas! Udah muak denger itu terus!","negatif","hukum tajam bawah tumpul atas udah muak dengar terus"
"Bisa nggak sih kerja pakai hati nurani?","negatif","sih kerja pakai hati nurani"
"Orang bayar pajak buat gaji mereka, tapi kerjaannya bikin rakyat sengsara!","negatif","orang bayar pajak buat gaji kerja bikin rakyat sengsara"
"Rakyat yang benar malah dianggap musuh!","negatif","rakyat benar malah anggap musuh"
"Kalau kerja cuma buat kepentingan sendiri, mending mundur aja!","negatif","kalau kerja cuma buat penting sendiri mending mundur aja"
"Kesel banget! Bukannya menangkap yang salah, malah main gertak rakyat!","negatif","kesel banget bukan tangkap salah malah main gertak rakyat"
"Susah banget cari polisi yang benar-benar jujur!","negatif","susah banget cari polisi benar jujur"
"Apa susahnya kerja bener tanpa nyari untung pribadi?","negatif","apa susah kerja benar sari untung pribadi"
"Sistemnya emang udah bobrok dari atas sampai bawah!","negatif","sistem emang udah bobrok atas bawah"
"Polisi macam apa yang malah lindungi kriminal?","negatif","polisi macam apa malah lindung kriminal"
"Nggak malu sama sumpah jabatan sendiri?","negatif","malu sama sumpah jabat sendiri"
"Janji tinggal janji, prakteknya nol besar!","negatif","janji tinggal janji praktek nol besar"
"Kalau nggak ada rakyat, kalian bukan siapa-siapa! Jangan sok berkuasa!","negatif","kalau rakyat kalian bukan siapa jangan sok kuasa"
"Udah bosen denger alasan klasik mereka!","negatif","udah bosan dengar alas klasik"
"Gaji gede tapi kelakuan nggak ada yang bisa dibanggain!","negatif","gaji gede laku bangga"
"Mau percaya, tapi tiap hari selalu ada kasus baru!","negatif","mau percaya tiap hari selalu kasus baru"
"Kalau udah ketahuan salah, ngelesnya lebih jago dari atlet lari!","negatif","kalau udah tahu salah les lebih jago atlet lari"
"Buat apa punya polisi kalau rakyat tetap harus berjuang sendiri?","negatif","buat apa punya polisi kalau rakyat tetap juang sendiri"
"Bener-bener bikin naik darah kalau denger kasus baru tiap hari!","negatif","benar bikin naik darah kalau dengar kasus baru tiap hari"
"Harusnya mereka jaga nama baik institusi, bukan malah bikin malu!","negatif","harus jaga nama baik institusi bukan malah bikin malu"
"Seragam mereka harusnya jadi simbol keadilan, bukan simbol ketakutan!","negatif","ragam harus jadi simbol adil bukan simbol takut"
"Nggak ada yang berubah! Tiap tahun sama aja bobroknya!","negatif","ubah tiap tahun sama aja bobrok"
"Rakyat udah muak dipermainkan kayak begini terus!","negatif","rakyat udah muak main kayak begini terus"
"Seriusan, kerja kalian tuh buat rakyat, bukan buat nyari untung sendiri!","negatif","serius kerja kalian itu buat rakyat bukan buat sari untung sendiri"
"Kalau nggak bisa kasih keadilan, ya mundur aja! Jangan sok berkuasa!","negatif","kalau kasih adil mundur aja jangan sok kuasa"
"Kenapa sih selalu ada alasan kalau disuruh kerja bener? Bukannya itu tugas kalian?","negatif","sih selalu alas kalau suruh kerja benar bukan tugas kalian"
"Udah tau salah, masih aja sok bener! Gimana rakyat mau percaya?","negatif","udah tau salah aja sok benar gimana rakyat mau percaya"
"Mereka kerja buat siapa sih? Kok yang benar malah ditekan?","negatif","kerja buat siapa sih kok benar malah dite"
"Jangan heran kalau rakyat kehilangan kepercayaan, kelakuan kalian sendiri yang bikin!","negatif","jangan heran kalau rakyat hilang percaya laku kalian sendiri bikin"
"Hukum di negeri ini lebih mirip dagangan, siapa yang bayar lebih, dia yang menang!","negatif","hukum negeri lebih mirip dagang siapa bayar lebih menang"
"Kalau ada kasus besar, pasti ada aja yang tiba-tiba ?ilang jejak? udah capek liat dramanya!","negatif","kalau kasus besar aja tiba ilang jejak udah capek liat drama"
"Jangan cuma garang kalau ngurusin rakyat kecil, berani nggak lawan yang di atas?","negatif","jangan cuma garang kalau urus rakyat kecil berani lawan atas"
